06060144	4C	御定歷代題畫詩類	（清）陳邦彥	四庫全書,集部,總集類,清	06060144,06060145,06060146,06060147,06060148,06060149,06060150,06060151,06060152,06060153,06060154,06060155,06060156,06060157,06060158,06060159,06060160,06060161,06060162,06060163,06060164,06060165,06060166,06060167,06060168,06060169,06060170,06060171,06060172,06060173,06060174,06060175,06060176,06060177,06060178,06060179,06060180,06060181,06060182
06047137	1E	穀梁折諸	（清）張尚瑗	四庫全書,經部,春秋類,清	06047137,06047138,06047139
06047134	1E	公羊折諸	（清）張尚瑗	四庫全書,經部,春秋類,清	06047134,06047135,06047136
06044627	2K	宣和奉使高麗圖經	（宋）徐兢	四庫全書,史部,地理類,宋	06044627,06044628,06044629
06045629	1D	周官集注	（清）方苞	四庫全書,經部,禮類,清	06045629,06045630,06045631,06045632,06045633,06045634,06045635,06045636,06045637,06045638,06045639
06044972	3A	御纂朱子全書	（宋）朱熹,（清）李光地,（清）熊賜履	四庫全書,子部,儒家類,宋,清	06044972,06044973,06044974,06044975,06044976,06044977,06044978,06044979,06044980,06044981,06044982,06044983,06044984,06044985,06044987,06044988,06044989,06044990,06044991,06044992,06044993,06044994,06044995,06044996,06044997,06044998,06044999,06045000,06045001,06045002,06045003,06045004,06045005,06045006,06045007,06045008,06045009,06045010,06045011,06045012,06045013,06045014,06045015,06045016,06045017,06045018,06045019
06045154	4B	未軒文集	（明）黄仲昭	四庫全書,集部,別集類,明	06045154,06045155,06045156,06045157,06045158
06040393	4B	眉菴集	（明）楊基	四庫全書,集部,別集類,明	06040393,06040394,06040395,06040396
06053745	4B	香溪集	（宋）范浚	四庫全書,集部,別集類,宋	06053745,06053746,06053747,06053748
06058424	2F	端肅奏議	（明）馬文升	四庫全書,史部,詔令奏議類,明	06058424,06058425,06058426
06058427	2F	闗中奏議	（明）楊一清	四庫全書,史部,詔令奏議類,明	06058427,06058428,06058429,06058430,06058431,06058432,06058433,06058434,06058435,06058436,06058437,06058438,06058439,06058440,06058441,06058442
06059918	3J	賓退錄	（宋）趙與峕	四庫全書,子部,雜家類,宋	06059918,06059919,06059920,06059921
06068955	4C	粵西叢載	（清）汪森	四庫全書,集部,總集類,清	06068955,06068956,06068957,06068958,06068959,06068960,06068961,06068962,06068963,06068964,06068965,06068966,06068967
06041893	2K	北河紀餘	（明）謝肇淛	四庫全書,史部,地理類,明	06041893,06041894
06041890	2K	北河紀	（明）謝肇淛	四庫全書,史部,地理類,明	06041890,06041891,06041892
06041897	2K	三吳水考	（明）張內蘊,（明）周大韶	四庫全書,史部,地理類,明	06041897,06041898,06041899,06041900,06041901,06041902,06041903,06041904,06041905,06041906,06041907,06041908
06041895	2K	敬止集	（明）陳應芳	四庫全書,史部,地理類,明	06041895,06041896
06043931	4B	申齊集	（元）劉岳申	四庫全書,集部,別集類,元	06043931,06043932,06043933,06043934,06043935
06043936	4B	西巖集	（元）張之翰	四庫全書,集部,別集類,元	06043936,06043937,06043938,06043939,06043940
06081076	XX	詩經集傳	（宋）朱熹	四庫全書薈要,經部,宋	06081076,06081077,06081078,06081079,06081080
06047220	1J	增修互注禮部韻略	（宋）毛晃,（宋）毛居正	四庫全書,經部,小學類,宋	06047220,06047221,06047222,06047223,06047224
06077727	XX	家藏集	（明）吳寬	四庫全書薈要,集部,别集類,明	06077727,06077728,06077729,06077730,06077731,06077732,06077733,06077734,06077735,06077736,06077737,06077738,06077739,06077740,06077741,06077742,06077743,06077744,06077745,06077746,06077747,06077748,06077749
06047225	1J	增修校正押韻釋疑	（宋）歐陽德隆	四庫全書,經部,小學類,宋	06047225,06047226,06047227,06047228,06047229
06045716	1E	春秋左傳要義	（宋）魏了翁	四庫全書,經部,春秋類,宋	06045716,06045717,06045718,06045719,06045720,06045721,06045722,06045723
06066081	2G	象臺首末	（宋）胡知柔	四庫全書,史部,傳記類,宋	06066081,06066082
06056945	2A	明史	（清）張廷玉	四庫全書,史部,正史類,清	06056945,06056946,06056947,06056948,06056949,06056950,06056951,06056952,06056953,06056954,06056955,06056956,06056957,06056958,06056959,06056960,06056961,06056962,06056963,06056964,06056965,06056966,06056967,06056968,06056969,06056970,06056971,06056972,06056973,06056974,06056975,06056976,06056977,06056978,06056979,06056980,06056981,06056982,06056983,06056984,06056985,06056986,06056987,06056988,06056989,06056990,06056991,06056992,06056993,06056994,06056995,06056996,06056997,06056998,06056999,06057000,06057001,06057002,06057003,06057004,06057005,06057006,06057007,06057008,06057009,06057010,06057011,06057012,06057013,06057014,06057015,06057016,06057017,06057018,06057019,06057020,06057021,06057022,06057023,06057024,06057025,06057026,06057027,06057028,06057029,06057030,06057031,06057032,06057033,06057034,06057035,06057036,06057037,06057038,06057039,06057040,06057041,06057042,06057043,06057044,06057045,06059308,06060745,06060746,06060747,06060748,06060749,06060750,06060751,06060752,06060753,06060754,06060755,06060756,06060757,06060758,06060759,06060760,06060761,06060762,06060763,06060764,06060765,06060766,06060767,06060768,06060769,06060770,06060771,06060772
06066085	2G	諸葛忠武書	（明）楊時偉	四庫全書,史部,傳記類,明	06066085,06066086,06066087
06056496	3G	遁甲演義	（明）程道生	四庫全書,子部,術數類,明	06056496,06056497,06066056,06066057
06056494	3G	太乙金鏡式經	（唐）王希明	四庫全書,子部,術數類,唐	06056494,06056495
06066089	2G	朱子年譜	（清）王懋竑	四庫全書,史部,傳記類,清	06066089,06066090,06066091
06053448	4B	杜詩補註	（清）仇兆鼇	四庫全書,集部,別集類,清	06053448,06053449
06056491	3G	太清神鑑	（後周）王朴	四庫全書,子部,術數類,後周	06056491,06056492,06066051,06066052
06045573	1C	虞東學詩	（清）顧鎮	四庫全書,經部,詩類,清	06045573,06045574,06045575,06045576,06045577,06045578,06045579,06045580,06045581,06045582,06045583
